Model,Implementation,Params (M),Best PPL,Final PPL,Time (min)
Mamba-only,Mine,18.733696,84.55932553216907,188.83811647804254,1.2854134718577066
Transformer-only,Mine,20.458368,92.39884363588256,196.93058037550887,1.7935033082962035
Hybrid-Mine,Mine,20.3288,94.45797453478157,277.6199423456909,2.630660657087962
Hybrid-NoMeta,Mine,20.30832,93.59250301874383,265.93486562071183,2.1842703421910605
Hybrid-Official,Official,21.628032,99.73130788537945,418.5669738616435,3.4680355230967206
Official-NoMeta,Official,21.607552,99.95007176051855,407.1008935472564,2.6152037143707276
