Model,Type,Params (M),Best PPL,Final PPL,Throughput (K tok/s),Time (min)
Transformer,Mine,38.184192,40.252777676779054,40.252777676779054,46.94351629057397,53.25099177757899
Mamba,Mine,36.45952,50.17345348701457,50.17345348701457,55.02114158904691,45.433241256078084
Hybrid-Mine,Mine,35.10032,40.704582887001756,40.704582887001756,34.08525073371793,73.33931088050207
Hybrid-Official,Official,36.399552,37.141504853737885,37.141504853737885,23.686356416219667,105.53707611560822
